fullName,city,state,location,lon,lat,type,loctype,address,north,south,east,west
Kaua`i High School Gymnasium,Lihue,HI,"Kaua`i High School Gymnasium, Lihue, HI",-159.360371,21.958976,establishment,rooftop,"3577 lala rd, lihue, hi 96766, usa",21.9605792302915,21.9578812697085,-159.3590415197085,-159.3617394802915
Dugan Wellness Center,Corpus Christi,TX,"Dugan Wellness Center, Corpus Christi, TX",-97.3243463,27.711429,establishment,rooftop,"6300 ocean dr, corpus christi, tx 78412, usa",27.7125726302915,27.7098746697085,-97.3235219197085,-97.3262198802915
Sams Gymnasium,San Antonio,TX,"Sams Gymnasium, San Antonio, TX",-98.486807,29.332844,route,geometric_center,"sams dr, san antonio, tx 78221, usa",29.3341908802915,29.3314929197085,-98.4815027,-98.4917926
Alice P. McDermott Convocation Center,San Antonio,TX,"Alice P. McDermott Convocation Center, San Antonio, TX",-98.46941389999999,29.4681469,establishment,geometric_center,"san antonio, tx 78212, usa",29.4694410802915,29.4667431197085,-98.4680011197085,-98.47069908029151
Junell Center/Stephens Arena,San Angelo,TX,"Junell Center/Stephens Arena, San Angelo, TX",-100.4580002,31.4370367,establishment,rooftop,"2235 s jackson st, san angelo, tx 76904, usa",31.4387154302915,31.4360174697085,-100.4566575697085,-100.4593555302915
Moody Coliseum (Abilene),Abilene,TX,"Moody Coliseum (Abilene), Abilene, TX",-99.7091578,32.4703933,establishment,geometric_center,"abilene, tx 79699, usa",32.4719735802915,32.4692756197085,-99.7078068697085,-99.71050483029151
BancorpSouth Arena,Tupelo,MS,"BancorpSouth Arena, Tupelo, MS",-88.6997306,34.259517,establishment,rooftop,"375 e main st, tupelo, ms 38804, usa",34.26087048029149,34.25817251970849,-88.69807041970849,-88.70076838029149
Lake Charles Civic Center,Lake Charles,LA,"Lake Charles Civic Center, Lake Charles, LA",-93.2193408,30.2278743,establishment,rooftop,"900 lakeshore dr, lake charles, la 70601, usa",30.2292179802915,30.2265200197085,-93.21795586970849,-93.2206538302915
SECU Arena,Towson,MD,"SECU Arena, Towson, MD",-76.61716129999999,39.3873801,establishment,rooftop,"8000 york rd, towson, md 21252, usa",39.3889806302915,39.3862826697085,-76.61566201970848,-76.6183599802915
The Pentagon,Sioux Falls,SD,"The Pentagon, Sioux Falls, SD",-96.7525946,43.5909304,route,geometric_center,"w pentagon pl, sioux falls, sd 57107, usa",43.5922781302915,43.5895801697085,-96.7487302,-96.75592329999999
Forbes Arena,Atlanta,GA,"Forbes Arena, Atlanta, GA",-84.4170941,33.7488526,establishment,rooftop,"forbes, arena, atlanta, ga 30314, usa",33.7503669302915,33.7476689697085,-84.41566591970849,-84.41836388029151
Von Braun Center,Huntsville,AL,"Von Braun Center, Huntsville, AL",-86.59028029999999,34.7266109,establishment,rooftop,"700 monroe st sw, huntsville, al 35801, usa",34.72859723029149,34.72589926970849,-86.58878661970849,-86.5914845802915
Costello Athletic Center,Lowell,MA,"Costello Athletic Center, Lowell, MA",-71.3241534,42.6555111,establishment,rooftop,"275 riverside st, lowell, ma 01854, usa",42.6566386802915,42.6539407197085,-71.3229085197085,-71.32560648029151
Memorial Gymnasium (ME),Orono,ME,"Memorial Gymnasium (ME), Orono, ME",-68.6686491,44.9030232,establishment,rooftop,"bennett, 18 gym dr, orono, me 04473, usa",44.9047003302915,44.9020023697085,-68.66839026970851,-68.67108823029152
